text,label
[2026-01-05 04:51:36] ALERT db-prod-02 user=root action=file_upload path=/shared/docs status=success size=70KB,0
[2026-11-04 02:13:28] ALERT api-gateway brute force detected user=dbadmin attempts=155 src_ip=139.102.159.103 action=blocked,2
[2026-01-15 16:29:53] INFO db-prod-02 user=admin action=login status=success src_ip=104.173.55.64 attempt=3 note=eventually_succeeded,1
[2026-01-01 16:46:17] DEBUG vpn-gw01 user=admin action=password_change status=success src_ip=10.0.11.149,0
[2026-10-17 19:32:56] DEBUG mail-relay connection src=179.237.25.143 dst_port=6667 flagged=uncommon_port status=allowed,1
[2026-11-06 18:03:40] WARN file-server-03 SQL injection payload in request param='id' src_ip=128.202.234.37 action=blocked,0
[2026-10-01 00:50:06] DEBUG file-server-03 user=analyst01 action=file_upload path=/shared/docs status=success size=53KB,0
[2026-10-15 14:56:04] ALERT api-gateway data exfiltration confirmed size=8070MB dst_ip=8.59.133.46 action=connection_terminated,2
[2026-12-17 04:58:08] WARN dns-primary SQL injection payload in request param='id' src_ip=160.51.37.138 action=blocked,2
[2026-12-12 12:31:19] DEBUG db-prod-02 user=webapp action=password_change status=success src_ip=10.0.1.208,1
[2026-03-27 06:52:44] NOTICE db-prod-02 connection src=122.86.43.73 dst_port=8888 flagged=uncommon_port status=allowed,1
[2026-07-14 07:11:32] WARN vpn-gw01 SQL injection payload in request param='id' src_ip=21.214.161.240 action=blocked,2
[2026-06-12 10:05:43] INFO web-prod-01 user=dbadmin action=sudo command=disable_firewall status=success src_ip=177.2.54.200,2
[2026-04-20 09:34:08] WARN auth-svc multiple failed sudo attempts user=deploy_bot count=3,1
[2026-12-09 15:13:10] WARN file-server-03 vpn session started user=deploy_bot src_ip=10.0.13.89 duration=391m,0
[2026-05-19 14:00:01] DEBUG vpn-gw01 data exfiltration confirmed size=10507MB dst_ip=108.194.89.158 action=connection_terminated,2
[2026-04-20 03:45:14] NOTICE backup-host privilege escalation succeeded user=guest from=user to=root method=exploit action=session_terminated,2
[2026-06-27 19:24:51] ALERT mail-relay user=dbadmin action=password_change status=success src_ip=10.0.14.139,0
[2026-05-01 15:42:33] NOTICE file-server-03 user=guest action=file_read path=/reports/q1.pdf status=success,0
[2026-05-19 19:50:54] WARN auth-svc multiple failed sudo attempts user=root count=2,1
[2026-03-18 12:18:42] WARN api-gateway user=admin action=sudo command=disable_firewall status=success src_ip=54.220.164.120,2
[2026-01-17 11:05:48] INFO backup-host DDoS traffic pattern requests_per_sec=10275 src_ips=2269 action=mitigated,2
[2026-02-22 19:36:43] NOTICE vpn-gw01 user=root action=file_upload path=/shared/docs status=success size=502KB src_ip=3.57.38.242,1
[2026-03-17 11:03:27] NOTICE app-node-07 package update applied version=3.11.1 status=success,0
[2026-01-14 20:10:38] NOTICE auth-svc vpn session started user=admin src_ip=10.0.18.110 duration=199m,0
[2026-10-13 17:32:59] NOTICE dns-primary connection established src=10.0.8.64 dst_port=5432 protocol=TCP,0
[2026-02-09 23:42:34] ALERT dns-primary DDoS traffic pattern requests_per_sec=11535 src_ips=3870 action=mitigated,1
[2026-02-27 17:34:39] INFO mail-relay unauthorized admin account created user=backdoor_866 src_ip=19.30.117.18 action=account_disabled,2
[2026-01-28 19:54:58] NOTICE auth-svc privilege escalation succeeded user=root from=user to=root method=exploit action=session_terminated,2
[2026-06-24 03:08:34] INFO mail-relay malware signature detected file=/tmp/tmp437.exe action=quarantined,2
[2026-07-13 04:00:35] INFO dns-primary DDoS traffic pattern requests_per_sec=13747 src_ips=237 action=mitigated,2
[2026-12-02 05:20:08] DEBUG file-server-03 user=guest action=sudo command=disable_firewall status=success src_ip=68.202.67.172,2
[2026-12-23 03:49:03] NOTICE web-prod-01 known C2 beacon src=55.135.67.239 dst_port=1337 action=blocked,2
[2026-09-12 16:32:58] ALERT auth-svc user=guest action=file_read path=/reports/q4.pdf status=success,0
[2026-09-13 17:03:42] ALERT db-prod-02 unauthorized admin account created user=backdoor_613 src_ip=131.41.95.18 action=account_disabled,2
[2026-01-04 10:04:16] ALERT backup-host DDoS traffic pattern requests_per_sec=42118 src_ips=1260 action=mitigated,1
[2026-08-21 06:21:41] INFO app-node-07 DDoS traffic pattern requests_per_sec=31244 src_ips=4263 action=mitigated,2
[2026-05-24 00:58:58] DEBUG db-prod-02 multiple failed sudo attempts user=jsmith count=3,1
[2026-07-01 04:21:11] WARN backup-host user=guest action=login status=failed attempt=243 src_ip=138.136.174.29 action_taken=ip_banned,2
[2026-08-07 08:44:54] WARN web-prod-01 scheduled backup job completed duration=440s,0
[2026-05-26 14:25:11] ALERT vpn-gw01 credential dump detected file=/tmp/hashes.txt user=svc_backup action=incident_created,2
[2026-05-20 17:13:26] NOTICE db-prod-02 malware signature detected file=/tmp/update496.exe action=quarantined,2
[2026-02-01 03:45:51] NOTICE api-gateway repeated password reset requests user=operator count=6 window=10m,1
[2026-02-17 22:24:46] DEBUG backup-host package update applied version=3.12.8 status=success,0
[2026-05-06 17:16:15] ALERT mail-relay user=operator logged in from usual location src_ip=10.0.10.28 hour=13,0
[2026-10-13 05:52:51] NOTICE vpn-gw01 port scan pattern src_ip=193.120.158.58 ports_probed=9,1
[2026-08-27 11:43:25] ALERT app-node-07 privilege escalation succeeded user=operator from=user to=root method=exploit action=session_terminated,2
[2026-07-03 01:03:26] NOTICE backup-host repeated password reset requests user=operator count=3 window=10m,1
[2026-07-26 05:41:26] NOTICE backup-host port scan pattern src_ip=58.32.173.6 ports_probed=6,1
[2026-10-18 23:40:48] WARN web-prod-01 user=mchen action=file_access path=/etc/shadow status=denied src_ip=10.0.6.173,1
[2026-04-01 21:13:29] NOTICE api-gateway user=mchen action=login status=success src_ip=10.0.18.110 attempt=1,0
[2026-09-27 01:48:46] NOTICE dns-primary package update applied version=4.13.1 status=success,0
[2026-03-15 15:30:20] WARN auth-svc user=dbadmin action=file_access path=/etc/shadow status=denied src_ip=10.0.9.254,1
[2026-02-21 14:47:12] WARN web-prod-01 connection established src=10.0.20.181 dst_port=22 protocol=TCP,0
[2026-07-26 04:11:04] WARN auth-svc user=admin action=file_upload path=/shared/docs status=success size=556KB src_ip=8.59.133.46,1
[2026-02-05 09:16:57] WARN db-prod-02 scheduled backup job completed duration=109s,0
[2026-03-16 04:52:45] NOTICE db-prod-02 user=guest action=login status=success src_ip=10.0.3.99 attempt=1,0
[2026-03-02 10:15:42] DEBUG mail-relay unusual login time user=svc_monitor hour=4 src_ip=10.0.20.20,1
[2026-04-28 19:53:23] DEBUG vpn-gw01 user=mchen action=sudo command=view_passwd_file status=denied,1
[2026-04-10 06:34:53] WARN app-node-07 user=guest action=file_upload path=/shared/docs status=success size=347KB,0
